AndI     -V061  0 45 35.799 +38 03 02.81 0.332 25.265 0.594 24.729 0.273 25.346 0.661 25.076 0.477 24.711 0.247 RRc     ACS
AndI     -V062  0 45 35.846 +38 03 09.16 0.654 25.442 0.560 24.579 0.177 25.578 0.635 25.152 0.391 24.541 0.223 RRab    ACS
AndI     -V063  0 45 35.927 +38 03 18.90 0.658 25.165 0.960 24.314 0.616 25.292 1.047 24.886 0.816 24.300 0.620 RRab    ACS
AndI     -V064  0 45 36.125 +38 03 25.60 0.662 25.487 0.355 24.603 0.199 25.628 0.384 25.181 0.276 24.591 0.210 RRab    ACS
AndI     -V065  0 45 36.225 +38 01 36.05 0.675 25.265 0.735 24.464 0.543 25.385 0.784 24.991 0.652 24.447 0.548 RRab    ACS
AndI     -V066  0 45 36.643 +38 03 59.94 0.669 25.599 0.517 24.637 0.282 25.750 0.577 25.277 0.414 24.624 0.285 RRab    ACS
AndI     -V067  0 45 36.673 +38 01 29.38 0.568 25.521 0.774 24.692 0.663 25.649 0.823 25.196 0.903 24.676 0.674 RRab    ACS
AndI     -V068  0 45 36.694 +38 01 25.06 0.590 25.412 0.871 24.662 0.553 25.530 0.957 25.145 0.760 24.644 0.548 RRab    ACS
AndI     -V069  0 45 36.742 +38 03 35.81 0.582 25.477 1.096 24.626 0.466 25.606 1.244 25.184 0.869 24.614 0.474 RRab    ACS
AndI     -V070  0 45 36.753 +38 02 24.26 0.645 25.396 0.660 24.538 0.311 25.546 0.713 25.090 0.479 24.514 0.307 RRab    ACS
AndI     -V071  0 45 36.882 +38 01 16.94 0.296 25.365 0.662 24.842 0.384 25.444 0.749 25.177 0.519 24.831 0.379 RRc     ACS
AndI     -V072  0 45 36.935 +38 01 24.54 0.548 25.371 1.291 24.636 0.756 25.484 1.392 25.131 1.065 24.623 0.751 RRab    ACS
AndI     -V073  0 45 37.174 +38 02 43.13 0.575 25.363 1.320 24.633 0.653 25.472 1.427 25.113 1.130 24.618 0.655 RRab    ACS
AndI     -V074  0 45 37.454 +38 01 18.32 0.620 25.475 0.875 24.659 0.472 25.602 0.954 25.191 0.743 24.645 0.480 RRab    ACS
