Galaxy,Star,Period (Days)
AndII,V043,0.495
AndII,V044,0.767
AndII,V045,0.669
AndII,V046,0.603
AndII,V047,0.638
AndII,V048,0.7070000000000001
AndII,V049,0.674
AndII,V050,0.35700000000000004
AndII,V051,0.604
AndII,V052,0.33799999999999997
AndII,V053,0.293
AndII,V054,0.479
AndII,V055,0.607
AndII,V056,0.575
AndII,V057,0.536
AndII,V058,0.544
AndII,V059,0.7490000000000001
AndII,V060,0.6890000000000001
AndII,V061,0.6679999999999999
AndII,V062,0.57
AndII,V063,0.619
AndII,V064,0.6920000000000001
AndII,V065,0.375
AndII,V066,0.519
AndII,V067,0.628
AndII,V068,0.547
AndII,V069,0.5770000000000001
AndII,V070,0.33
AndII,V071,0.5429999999999999
AndII,V072,0.574
AndII,V073,0.309
AndII,V074,0.597
AndII,V075,0.5329999999999999
AndII,V076,0.284
AndII,V077,0.614
AndII,V078,0.586
AndII,V079,0.5820000000000001
AndII,V080,0.37
AndII,V081,0.58
AndII,V082,0.542
AndII,V083,0.8809999999999999
AndII,V084,0.627
AndII,V085,0.364
AndII,V086,0.515
AndII,V087,0.5920000000000001
AndII,V088,0.35700000000000004
AndII,V089,0.685
AndII,V090,0.496
AndII,V091,0.5329999999999999
AndII,V092,0.358
AndII,V093,0.565
AndII,V094,0.521
AndII,V095,0.306
AndII,V096,0.518
AndII,V097,0.358
AndII,V098,0.516
AndII,V099,1.34
AndII,V100,0.696
AndII,V101,0.636
AndII,V102,0.431
AndII,V103,0.619
AndII,V104,0.542
AndII,V105,0.716
AndII,V106,0.643
AndII,V107,0.605
AndII,V108,0.598
AndII,V109,0.547
AndII,V110,0.624
AndII,V111,0.361
AndII,V112,0.6
AndII,V113,0.375
AndII,V114,0.371
AndII,V115,0.568
AndII,V116,0.545
AndII,V117,0.302
AndII,V118,0.5379999999999999
AndII,V119,0.574
AndII,V120,0.534
AndII,V121,0.52
AndII,V122,0.373
AndII,V123,0.574
AndII,V124,0.527
AndII,V125,0.63
AndII,V126,0.5870000000000001
AndII,V127,0.34700000000000003
AndII,V128,0.521
AndII,V129,0.611
AndII,V130,0.563
AndII,V131,0.69
AndII,V132,1.177
AndII,V133,0.5589999999999999
AndII,V134,0.5670000000000001
AndII,V135,0.33899999999999997
AndII,V136,0.584
AndII,V137,0.518
AndII,V138,0.601
AndII,V139,0.626
AndII,V140,0.589
AndII,V141,0.537
AndII,V142,0.5589999999999999
AndII,V143,0.371
AndII,V144,0.5539999999999999
AndII,V145,0.687
AndII,V146,0.616
AndII,V147,0.612
AndII,V148,0.5479999999999999
AndII,V149,0.611
AndII,V150,0.379
AndII,V151,0.63
AndII,V152,0.546
AndII,V153,0.58
AndII,V154,0.5529999999999999
AndII,V155,0.344
AndII,V156,0.596
AndII,V157,0.3
AndII,V158,1.663
AndII,V159,0.604
AndII,V160,0.5920000000000001
AndII,V161,0.602
AndII,V162,0.52
AndII,V163,0.35600000000000004
AndII,V164,0.529
AndII,V165,0.358
AndII,V166,0.525
AndII,V167,0.6559999999999999
AndII,V168,0.637
AndII,V169,0.496
AndII,V170,0.5710000000000001
AndII,V171,0.667
AndII,V172,0.682
AndII,V173,0.7120000000000001
AndII,V174,1.057
AndII,V175,0.563
AndII,V176,0.645
AndII,V177,0.546
AndII,V178,0.389
AndII,V179,0.669
AndII,V180,0.608
AndII,V181,0.48
AndII,V182,0.526
AndII,V183,0.615
AndII,V184,0.6
AndII,V185,0.603
AndII,V186,0.5489999999999999
AndII,V187,0.325
AndII,V188,0.584
AndII,V189,1.206
AndII,V190,0.6509999999999999
AndII,V191,0.5770000000000001
AndII,V192,0.645
AndII,V193,0.619
AndII,V194,0.586
AndII,V195,0.295
AndII,V196,0.297
AndII,V197,0.618
AndII,V198,0.609
AndII,V199,0.586
AndII,V200,0.373
AndII,V201,0.614
AndII,V202,0.425
AndII,V203,0.35600000000000004
AndII,V204,0.726
AndII,V205,0.5710000000000001
AndII,V206,0.5579999999999999
AndII,V207,0.281
AndII,V208,0.263
AndII,V209,0.369
AndII,V210,0.292
AndII,V211,0.307
AndII,V212,0.5820000000000001
AndII,V213,0.258
AndII,V214,0.649
AndII,V215,0.674
AndII,V216,0.358
AndII,V217,0.657
AndII,V218,0.368
AndII,V219,0.5489999999999999
AndII,V220,0.608
AndII,V221,0.337
AndII,V222,0.544
AndII,V223,0.679
AndII,V224,0.573
AndII,V225,0.604
AndII,V226,0.568
AndII,V227,0.28
AndII,V228,0.376
AndII,V229,0.28300000000000003
AndII,V230,0.619
AndII,V231,0.603
AndII,V232,0.36200000000000004
AndII,V233,0.518
AndII,V234,0.48700000000000004
AndII,V235,0.35600000000000004
AndII,V236,0.547
AndII,V237,0.5770000000000001
AndII,V238,0.48100000000000004
AndII,V239,0.5479999999999999
AndII,V240,0.3
AndII,V241,0.5329999999999999
AndII,V242,0.299
AndII,V243,0.355
AndII,V244,0.674
AndII,V245,0.629
AndII,V246,0.5720000000000001
AndII,V247,0.609
AndII,V248,0.622
AndII,V249,0.312
AndII,V250,0.632
AndII,V251,0.5770000000000001
AndII,V252,0.584
AndII,V253,0.608
AndII,V254,0.532
AndII,V255,0.33399999999999996
AndII,V256,0.33399999999999996
AndII,V257,0.643
AndIII,V001,0.4
AndIII,V002,0.645
AndIII,V003,0.655
AndIII,V004,0.626
AndIII,V005,0.39899999999999997
AndIII,V006,0.627
AndIII,V007,0.706
AndIII,V008,0.653
AndIII,V009,0.375
AndIII,V010,0.606
AndIII,V011,0.607
AndIII,V012,0.601
AndIII,V013,0.65
AndIII,V014,0.6459999999999999
AndIII,V015,0.6609999999999999
AndIII,V016,0.614
AndIII,V017,0.406
AndIII,V018,0.413
AndIII,V019,0.32799999999999996
AndIII,V020,0.406
AndIII,V021,0.281
AndIII,V022,0.365
AndIII,V023,0.639
AndIII,V024,0.745
AndIII,V025,0.634
AndIII,V026,0.6409999999999999
AndIII,V027,0.602
AndIII,V028,0.618
AndIII,V029,0.65
AndIII,V030,0.63
AndIII,V031,0.596
AndIII,V032,0.605
AndIII,V033,0.36
AndIII,V034,0.38799999999999996
AndIII,V035,0.589
AndIII,V036,0.604
AndIII,V037,0.6579999999999999
AndIII,V038,0.615
AndIII,V039,0.5329999999999999
