Star,Wesenheit Magnitude,Log Period,Star Code
V067,23.750740000000008,-0.19020774526124043,51
V068,24.05884,-0.2648712276764641,52
V069,24.04724000000001,-0.22426363815068756,53
V071,24.154899999999998,-0.2744621561204461,54
V072,23.968080000000004,-0.2379806679116755,55
V074,23.9293,-0.22340342345292766,56
V075,24.059800000000003,-0.2893511938624041,57
V077,23.91206,-0.20983016923178102,58
V078,23.98402000000001,-0.23260377706677882,59
V079,23.94797999999999,-0.23259413142873536,60
V081,24.03326,-0.23298977836144769,61
V082,24.11066,-0.2731470580731699,62
V084,23.66842,-0.1772876615466268,63
V086,24.162179999999996,-0.28490026916619965,64
V087,23.889360000000003,-0.22339398000242583,65
V089,23.946280000000012,-0.17763598095408817,66
V090,24.314000000000004,-0.3109053323158467,67
V091,24.075159999999997,-0.2694249294512917,68
V093,23.87347999999999,-0.2432469966775912,69
V094,24.041100000000007,-0.2781314793909754,70
V096,24.07031999999999,-0.2848893892177971,71
V098,23.890939999999993,-0.2930270972567393,72
V100,23.802440000000004,-0.15257848340525065,73
V101,23.995499999999996,-0.20031538781865477,74
V103,23.958999999999996,-0.20032434253578976,75
V104,24.109839999999995,-0.2618479809906743,76
V105,23.87782,-0.13996745783056921,77
V106,23.847839999999998,-0.1997337268956546,78
V107,23.883460000000003,-0.20986678266663608,79
V108,23.8892,-0.2233845367572612,80
V109,23.8966,-0.2600975161883323,81
V110,23.855720000000012,-0.2092082126427602,82
V112,24.07586,-0.23210248773932013,83
V115,24.143199999999997,-0.23797090211244615,84
V116,24.051659999999995,-0.24857797054129377,85
V118,24.040080000000007,-0.2648712276764641,86
V119,24.026880000000006,-0.24144178898101815,87
V120,24.229520000000008,-0.2711607647226946,88
V121,24.189180000000004,-0.2797412328728899,89
V123,23.93117999999999,-0.2432469966775912,90
V124,24.061339999999998,-0.26027224551602446,91
V125,23.934819999999995,-0.2083772795056278,92
V126,23.84912,-0.22426363815068756,93
V128,24.023819999999994,-0.2930270972567393,94
V129,23.954760000000004,-0.2141257816801923,95
V130,24.102179999999986,-0.2553757067650659,96
V131,23.855140000000006,-0.1603737066775392,97
V132,23.912100000000002,0.031544893451253865,98
V133,23.94778,-0.24445465066876274,99
V134,24.000100000000003,-0.2518929462514716,100
V136,24.03043999999999,-0.22817015101585397,101
V137,24.121999999999996,-0.28238339666007517,102
V138,24.073219999999992,-0.22340342345292766,103
V139,23.9144,-0.2098759365076695,104
V140,23.945700000000006,-0.22817969889540246,105
V141,24.14616000000001,-0.28936218616554277,106
V142,24.100519999999992,-0.24857797054129377,107
V144,23.913019999999992,-0.25536554187629157,108
V145,23.88662,-0.15257848340525065,109
V146,23.96148000000001,-0.2105355206257122,110
V147,23.992540000000005,-0.21052635287188023,111
V148,24.00941999999999,-0.26405121558749944,112
V149,23.98046,-0.2105355206257122,113
V151,23.964699999999997,-0.2092082126427602,114
V152,24.052819999999997,-0.25851786870302734,115
