Star,Wesenheit Magnitude,Log Period,Star Code
V150,23.962060000000022,-0.25123799226283,112
V151,23.7254,-0.2453377674704007,113
V153,24.04111999999999,-0.2456557320364613,114
V154,23.618399999999998,-0.1299911116456143,115
V155,23.874760000000002,-0.2391247849920723,116
V156,24.291720000000012,-0.315982892531214,117
V159,23.927760000000003,-0.20676560822285964,118
V160,24.22067999999999,-0.2941370742422238,119
V161,24.181199999999993,-0.23988920764684804,120
V163,23.9514,-0.17875077993604793,121
V164,24.112539999999996,-0.28474797468634616,122
V165,23.753580000000014,-0.21343303790229473,123
V166,23.886479999999988,-0.2843022763943618,124
V167,23.973139999999997,-0.24848791561848235,125
V169,24.079259999999998,-0.26783197336905307,126
V170,23.940999999999992,-0.2283898053697836,127
V171,23.985799999999998,-0.23819557107213243,128
V172,23.98416000000001,-0.2153384311118031,129
V175,24.142540000000007,-0.26662021521946533,130
V176,23.553859999999997,-0.14733941952055288,131
V178,23.76007999999999,-0.1719534905820017,132
V179,24.051159999999996,-0.2410580406370935,133
V180,23.95146000000002,-0.22708306639130293,134
V183,23.982939999999992,-0.21119610801008534,135
V184,24.157659999999993,-0.28330383450431645,136
V187,23.981579999999987,-0.21947384970787023,137
V188,24.11714,-0.29172096281910953,138
V189,24.074760000000015,-0.2713505489714427,139
V190,23.997740000000007,-0.27320000924117677,140
V191,24.067480000000003,-0.23265200847068804,141
V192,24.24449999999999,-0.3036314038837409,142
V193,23.810260000000007,-0.22450972705427305,143
V194,23.95761999999999,-0.20098750449758787,144
V195,24.036780000000004,-0.2426148136276671,145
V196,23.876080000000005,-0.1871738459523213,146
V197,24.122939999999993,-0.24932915531920685,147
V199,24.149439999999984,-0.2875303171903254,148
V200,23.83984,-0.21989518614767195,149
V201,23.885999999999992,-0.20866016613143187,150
V203,23.752399999999998,-0.1779845799501867,151
V204,23.996439999999986,-0.23735609905252994,152
V205,23.688239999999997,-0.16406486351072921,153
V207,23.91362000000001,-0.19730811526032674,154
V209,23.090280000000007,-0.27565341919647124,155
V210,24.091799999999996,-0.2884068951081515,156
V213,24.0704,-0.2646946385907179,157
V215,23.90281999999999,-0.20099647308396792,158
V216,23.67799999999999,-0.16034920393388227,159
V217,23.84090000000001,-0.1718612266307576,160
V218,23.865299999999998,-0.256525874323329,161
V219,23.83778000000001,-0.20096956788043788,162
V220,24.116739999999997,-0.2756321179621019,163
V221,23.647640000000003,-0.14878441041096827,164
V222,23.771279999999976,-0.17733861767186285,165
V223,24.040819999999993,-0.29700279769532406,166
V224,23.754979999999993,-0.2283898053697836,167
V225,24.088820000000005,-0.25793464779078,168
V226,24.143100000000008,-0.3038813872298619,169
V227,23.914040000000014,-0.20674743137710005,170
V228,23.91942,-0.2457054350354666,171
V229,23.83458,-0.19501980362106147,172
V230,23.804660000000013,-0.20674743137710005,173
V231,24.042679999999987,-0.3234565923080946,174
V232,23.788659999999997,-0.22604619943494147,175
V233,23.995740000000005,-0.25790397363831324,176
V234,23.433220000000013,-0.24176676417592494,177
V235,23.795260000000006,-0.21119610801008534,178
V236,23.54227999999999,-0.07514492602250226,179
V237,23.852080000000004,-0.19581668320162524,180
V238,24.27032000000002,-0.27132945773669054,181
V240,23.848380000000013,-0.2162849816325477,182
V241,24.051859999999987,-0.2884068951081515,183
V242,24.178019999999993,-0.30648063221724936,184
V243,23.2982,-0.14733941952055288,185
V244,24.09454000000001,-0.30521326700846063,186
V246,24.11352000000001,-0.2953390443931557,187
V247,24.013979999999982,-0.248497920798908,188
V248,24.089840000000013,-0.23818580043932372,189
V249,23.545540000000003,-0.12707639615041122,190
V251,24.061159999999997,-0.26276722230239896,191
V252,23.967340000000007,-0.23847901508626457,192
V253,23.893800000000006,-0.23422729305727594,193
V254,23.87394000000001,-0.18753018865404628,194
V255,23.769539999999992,-0.20099647308396792,195
V260,24.233759999999997,-0.3048258038229931,196
V261,23.75376000000001,-0.18753018865404628,197
V262,23.988460000000003,-0.2848893892177971,198
V263,24.2441,-0.29900999955020424,199
V264,23.830159999999992,-0.2358471828316247,200
V265,23.954240000000002,-0.26642205944114794,201
V267,23.855059999999998,-0.1718612266307576,202
V268,24.03301999999999,-0.23821511299722534,203
V269,24.047979999999995,-0.24453395854086937,204
V270,23.761080000000007,-0.22560936425966707,205
V272,23.96345999999999,-0.20918079388564276,206
V273,23.79174,-0.23422729305727594,207
V274,23.805499999999995,-0.17194510214006192,208
V275,23.7493,-0.14289182858140043,209
V276,24.020640000000004,-0.25919415706073473,210
