HJD-2400000.0,Magnitude,Uncertainty in Magnitude,Passband
56453.84375,22.115,0.028999999999999998,i
56453.9140625,22.301,0.052000000000000005,i
56465.52734380001,22.195999999999998,0.015,i
56465.52734380001,22.204,0.015,i
56465.52734380001,22.226999999999997,0.016,i
56465.52734380001,22.186999999999998,0.015,i
56465.53125,22.195,0.012,i
56465.55078119999,22.243000000000002,0.013999999999999999,i
56465.5703125,22.32,0.012,i
56465.58984380001,22.36,0.025,i
56465.609375,22.287,0.013999999999999999,i
56465.62890619999,21.91,0.016,i
56465.6484375,21.646,0.013000000000000001,i
56465.66796880001,21.691,0.015,i
56465.6875,21.774,0.015,i
56467.53125,22.256,0.016,i
56467.58984380001,22.351999999999997,0.013000000000000001,i
56467.60546880001,22.311,0.015,i
56467.62109380001,22.215999999999998,0.013000000000000001,i
56467.63671880001,21.910999999999998,0.013000000000000001,i
56467.65234380001,21.666,0.012,i
56467.66796880001,21.66,0.011000000000000001,i
56467.6875,21.701999999999998,0.012,i
56509.48046880001,22.070999999999998,0.025,i
56509.546875,22.182,0.026000000000000002,i
56509.6171875,22.234,0.025,i
56509.68359380001,22.247,0.019,i
56510.48046880001,22.057,0.018000000000000002,i
56510.54296880001,22.178,0.016,i
56510.609375,22.184,0.022000000000000002,i
56510.67578119999,22.226999999999997,0.016,i
57114.734375,21.923000000000002,0.019,i
57114.7421875,21.788,0.013999999999999999,i
57114.75,21.627,0.013999999999999999,i
57114.76171880001,21.601,0.011000000000000001,i
57114.77734380001,21.654,0.012,i
57114.7890625,21.77,0.017,i
57114.80078119999,21.735,0.015,i
57114.81640619999,21.805999999999997,0.015,i
57114.828125,21.825,0.01,i
57114.83984380001,21.88,0.011000000000000001,i
57114.859375,21.921,0.033,i
57114.90625,22.004,0.012,i
57115.7265625,22.18,0.018000000000000002,i
57115.73046880001,22.0,0.015,i
57115.7421875,21.975,0.015,i
57115.75390619999,21.72,0.016,i
57115.765625,21.614,0.012,i
57115.77734380001,21.660999999999998,0.015,i
57115.79296880001,21.706,0.016,i
57115.8046875,21.773000000000003,0.013000000000000001,i
57115.81640619999,21.778000000000002,0.011000000000000001,i
57115.83203119999,21.831999999999997,0.015,i
57115.84375,21.866,0.012,i
57115.85546880001,21.874000000000002,0.011000000000000001,i
57115.87109380001,21.943,0.015,i
57115.8828125,21.914,0.013000000000000001,i
57115.91015619999,21.97,0.011000000000000001,i
57116.72265619999,22.209,0.018000000000000002,i
57116.73828119999,21.954,0.016,i
57116.74609380001,21.910999999999998,0.017,i
57116.76171880001,21.747,0.018000000000000002,i
57116.7734375,21.631999999999998,0.015,i
57116.78515619999,21.63,0.011000000000000001,i
57116.80078119999,21.701,0.012,i
57116.8125,21.794,0.013999999999999999,i
57116.82421880001,21.773000000000003,0.013000000000000001,i
57116.83984380001,21.851999999999997,0.013999999999999999,i
57116.8515625,21.866999999999997,0.013000000000000001,i
57116.86328119999,21.898000000000003,0.013999999999999999,i
57116.87890619999,21.899,0.013000000000000001,i
57116.890625,21.91,0.013000000000000001,i
57116.90234380001,21.959,0.015,i
56423.6640625,21.914,0.016,z
56423.8125,22.129,0.019,z
56423.890625,22.188000000000002,0.032,z
56424.71484380001,22.03,0.02,z
56424.8046875,22.128,0.023,z
56424.88671880001,22.154,0.034,z
56450.609375,21.573,0.14800000000000002,z
56450.7265625,21.897,0.259,z
56450.83203119999,22.035,0.036000000000000004,z
56451.61328119999,21.607,0.031,z
56451.6953125,21.826999999999998,0.024,z
56451.79296880001,21.991,0.073,z
56452.55078119999,22.276999999999997,0.019,z
56452.64453119999,21.643,0.05,z
56452.8203125,22.016,0.042,z
56452.890625,22.109,0.017,z
56453.6171875,21.572,0.013999999999999999,z
56453.703125,21.781999999999996,0.036000000000000004,z
56453.7734375,21.951999999999998,0.013000000000000001,z
56453.84375,22.092,0.04,z
56453.9140625,22.151999999999997,0.024,z
56465.55078119999,22.198,0.024,z
56465.57421880001,22.273000000000003,0.03,z
56465.59375,22.26,0.028999999999999998,z
56465.61328119999,22.203000000000003,0.021,z
56465.6328125,21.883000000000003,0.031,z
56465.65234380001,21.598000000000003,0.03,z
56465.671875,21.636,0.03,z
56465.69140619999,21.701999999999998,0.022000000000000002,z
56467.53125,22.166,0.015,z
56467.60546880001,22.250999999999998,0.021,z
56467.62109380001,22.144000000000002,0.019,z
56467.63671880001,21.846,0.016,z
56467.65234380001,21.625999999999998,0.013999999999999999,z
56467.671875,21.605,0.016,z
56467.6875,21.663,0.015,z
56509.48046880001,21.974,0.09,z
56509.546875,22.074,0.040999999999999995,z
56509.62109380001,22.154,0.113,z
56509.68359380001,22.2,0.022000000000000002,z
56510.48046880001,22.022,0.027000000000000003,z
56510.546875,22.105,0.039,z
56510.609375,22.141,0.11900000000000001,z
56510.67578119999,22.144000000000002,0.02,z
57114.73046880001,21.961,0.011000000000000001,z
57114.734375,22.008000000000003,0.016,z
57114.7421875,21.743000000000002,0.018000000000000002,z
57114.75,21.666999999999998,0.018000000000000002,z
57114.76171880001,21.592,0.016,z
57114.77734380001,21.623,0.011000000000000001,z
57114.7890625,21.666,0.015,z
57114.8046875,21.725,0.017,z
57114.81640619999,21.726999999999997,0.024,z
57114.859375,21.88,0.131,z
57114.90625,21.926,0.018000000000000002,z
57115.7265625,22.168000000000003,0.017,z
57115.7421875,21.88,0.018000000000000002,z
57115.75390619999,21.631,0.013000000000000001,z
57115.765625,21.598000000000003,0.015,z
57115.77734380001,21.596999999999998,0.013000000000000001,z
57115.79296880001,21.64,0.01,z
57115.8046875,21.689,0.013000000000000001,z
57115.81640619999,21.726,0.01,z
57115.83203119999,21.724,0.01,z
57115.84375,21.765,0.011000000000000001,z
57115.87109380001,21.866,0.011000000000000001,z
57115.8828125,21.855999999999998,0.015,z
57116.72265619999,22.372,0.02,z
57116.73046880001,22.08,0.018000000000000002,z
57116.73828119999,21.936999999999998,0.016,z
57116.74609380001,21.865,0.013999999999999999,z
57116.76171880001,21.517,0.013999999999999999,z
57116.7734375,21.54,0.013999999999999999,z
57116.78515619999,21.616,0.011000000000000001,z
57116.80078119999,21.647,0.01,z
57116.82421880001,21.726,0.015,z
57116.83984380001,21.776,0.015,z
57116.8515625,21.85,0.017,z
57116.86328119999,21.84,0.019,z
57116.890625,21.875,0.012,z
57116.90625,21.879,0.012,z
