Galaxy,Star,HJD-2400000.0,Magnitude,Uncertainty in Magnitude,Passband
AndI,V004,57266.69140599999,25.686,0.057999999999999996,F475W
AndI,V004,57266.765625,25.658,0.08800000000000001,F475W
AndI,V004,57267.41796900001,25.724,0.055,F475W
AndI,V004,57267.49609400001,25.814,0.091,F475W
AndI,V004,57267.68359400001,24.974,0.034,F475W
AndI,V004,57267.76171900001,25.3,0.051,F475W
AndI,V004,57268.28125,24.986,0.037000000000000005,F475W
AndI,V004,57268.35546900001,25.237,0.05,F475W
AndI,V004,57268.890625,24.965999999999998,0.043,F475W
AndI,V004,57269.41796900001,24.61,0.10800000000000001,F475W
AndI,V004,57269.33984400001,25.714000000000002,0.044000000000000004,F475W
AndI,V004,57269.539062,25.238000000000003,0.04,F475W
AndI,V004,57268.80859400001,24.554000000000002,0.03,F475W
AndI,V004,57269.617188,25.038,0.124,F475W
AndI,V004,57270.46484400001,25.719,0.061,F475W
AndI,V004,57270.54296900001,25.394000000000002,0.044000000000000004,F475W
AndI,V004,57270.664062,24.928,0.036000000000000004,F475W
AndI,V004,57270.742188,25.272,0.040999999999999995,F475W
AndI,V004,57271.66015599999,25.816,0.057,F475W
AndI,V004,57271.73828099999,25.61,0.046,F475W
AndI,V004,57266.44140599999,24.31,0.071,F814W
AndI,V004,57266.484375,24.365,0.042,F814W
AndI,V004,57266.70703099999,24.74,0.087,F814W
AndI,V004,57266.75,24.753,0.049,F814W
AndI,V004,57267.43359400001,24.743000000000002,0.062,F814W
AndI,V004,57267.48046900001,24.750999999999998,0.102,F814W
AndI,V004,57267.69921900001,24.392,0.053,F814W
AndI,V004,57267.74609400001,24.419,0.08900000000000001,F814W
AndI,V004,57268.296875,24.465,0.05,F814W
AndI,V004,57268.33984400001,24.517,0.045,F814W
AndI,V004,57268.82421900001,24.338,0.055999999999999994,F814W
AndI,V004,57268.875,24.331999999999997,0.06,F814W
AndI,V004,57269.35546900001,24.583000000000002,0.064,F814W
AndI,V004,57269.40234400001,24.198,0.055999999999999994,F814W
AndI,V004,57269.554688,24.480999999999998,0.067,F814W
AndI,V004,57269.601562,24.665,0.107,F814W
AndI,V004,57270.48046900001,24.835,0.071,F814W
AndI,V004,57270.52734400001,24.848000000000003,0.09,F814W
AndI,V004,57270.679688,24.441999999999997,0.066,F814W
AndI,V004,57270.726562,24.538,0.076,F814W
AndI,V004,57271.67578099999,25.011,0.081,F814W
AndI,V004,57271.71875,25.081999999999997,0.08900000000000001,F814W
AndI,V005,57266.42578099999,25.63,0.053,F475W
AndI,V005,57266.5,25.65,0.12,F475W
AndI,V005,57266.69140599999,25.612,0.09,F475W
AndI,V005,57266.765625,25.371,0.044000000000000004,F475W
AndI,V005,57267.41796900001,25.081,0.046,F475W
AndI,V005,57267.49609400001,25.397,0.045,F475W
AndI,V005,57267.68359400001,25.738000000000003,0.064,F475W
AndI,V005,57267.76171900001,25.886999999999997,0.065,F475W
AndI,V005,57268.28125,25.891,0.062,F475W
AndI,V005,57268.35546900001,25.78,0.073,F475W
