Star,Wesenheit Magnitude,Log Period,Star Code
V124,24.26594,-0.18721728672856564,92
V125,24.409280000000006,-0.20676560822285964,93
V127,24.378859999999996,-0.2336371001245129,94
V128,24.528559999999995,-0.28487850954195215,95
V129,24.2324,-0.2678424342729039,96
V130,24.738319999999995,-0.35198224396351857,97
V131,24.326980000000006,-0.23820534192476306,98
V132,24.27718,-0.20096956788043788,99
V133,24.277979999999985,-0.19103966082347407,100
V136,24.10484,-0.16470786641505994,101
V137,24.3692,-0.21791378697460412,102
V138,24.341979999999996,-0.2544618182944477,103
V139,24.384999999999994,-0.22708306639130293,104
V140,24.350799999999992,-0.20994001879779478,105
V141,24.12824000000001,-0.17153426683751014,106
V142,24.31038000000001,-0.20918079388564276,107
V144,24.3662,-0.2442564443269943,108
V145,24.355639999999983,-0.20866929457503824,109
V146,24.48632,-0.2902534879711123,110
V149,24.323359999999994,-0.21119610801008534,111
V150,24.361060000000016,-0.25123799226283,112
V151,24.1854,-0.2453377674704007,113
V153,24.38911999999999,-0.2456557320364613,114
V154,24.0784,-0.1299911116456143,115
V155,24.278760000000002,-0.2391247849920723,116
V156,24.57972000000001,-0.315982892531214,117
V159,24.331760000000003,-0.20676560822285964,118
V160,24.542679999999994,-0.2941370742422238,119
V161,24.511199999999995,-0.23988920764684804,120
V163,24.3614,-0.17875077993604793,121
V164,24.453539999999997,-0.28474797468634616,122
V165,24.16058000000001,-0.21343303790229473,123
V166,24.27847999999999,-0.2843022763943618,124
V167,24.354139999999997,-0.24848791561848235,125
V169,24.45826,-0.26783197336905307,126
V170,24.340999999999994,-0.2283898053697836,127
V171,24.3558,-0.23819557107213243,128
V172,24.348160000000007,-0.2153384311118031,129
V175,24.483540000000005,-0.26662021521946533,130
V176,24.022859999999998,-0.14733941952055288,131
V178,24.192079999999994,-0.1719534905820017,132
V179,24.415159999999997,-0.2410580406370935,133
V180,24.360460000000014,-0.22708306639130293,134
V183,24.333939999999995,-0.21119610801008534,135
V184,24.496659999999995,-0.28330383450431645,136
V187,24.38857999999999,-0.21947384970787023,137
V188,24.44814,-0.29172096281910953,138
V189,24.42876000000001,-0.2713505489714427,139
V190,24.368740000000006,-0.27320000924117677,140
V191,24.409480000000002,-0.23265200847068804,141
