Star,Wesenheit Magnitude,Log Period,Star Code
scl-CEMV175,19.291959999999996,-0.20172354435310555,65
scl-CEMV177,19.769859999999998,-0.3138144736371582,66
scl-CEMV178,19.559560000000005,-0.2798702712828978,67
scl-CEMV179,19.64956,-0.23768778941833654,68
scl-CEMV183,19.52706,-0.21739190433165004,69
scl-CEMV185,19.422179999999997,-0.22055141195270417,70
scl-CEMV191,19.56706,-0.2453278348278257,71
scl-CEMV197,19.561159999999997,-0.2533474488224258,72
scl-CEMV198,19.515719999999998,-0.27900000513383993,73
scl-CEMV206,19.37518,-0.15802772464304649,74
scl-CEMV211,19.52784,-0.26783197336905307,75
scl-CEMV212,19.611419999999995,-0.30980932658234794,76
scl-CEMV213,19.357480000000002,-0.17687174349255505,77
scl-CEMV214,19.457720000000005,-0.199545972052971,78
scl-CEMV215,19.342560000000002,-0.16428733372064708,79
scl-CEMV216,19.57535999999999,-0.29547280221076405,80
scl-CEMV218,19.065959999999997,-0.17340713511676353,81
scl-CEMV219,19.4635,-0.21148083731328227,82
scl-CEMV223,19.51422,-0.20039598692058924,83
scl-CEMV225,19.592139999999993,-0.28487850954195215,84
scl-CEMV229,19.31574,-0.16816170233168098,85
scl-CEMV230,19.59595999999999,-0.2375609367168776,86
scl-CEMV232,19.940460000000005,-0.2634708775352118,87
scl-CEMV234,19.573459999999997,-0.26929895711195634,88
scl-CEMV235,19.5193,-0.3115295602153145,89
scl-CEMV238,19.344700000000007,-0.1963842440291696,90
scl-CEMV239,19.402859999999993,-0.1903827529979938,91
scl-CEMV240,19.414100000000005,-0.24027192412845952,92
scl-CEMV243,19.595340000000007,-0.2594813857400964,93
scl-CEMV250,19.27378,-0.13315560907556429,94
scl-CEMV253,19.151520000000005,-0.21389474428840408,95
scl-CEMV256,19.442260000000005,-0.23393693400732063,96
scl-CEMV259,19.24592,-0.14539390975465932,97
scl-CEMV260,19.279600000000002,-0.18931630114001993,98
scl-CEMV262,19.30416,-0.11908607342374682,99
scl-CEMV263,19.512460000000004,-0.2610027582756077,100
scl-CEMV267,19.27576000000001,-0.15930503926692025,101
scl-CEMV269,19.258260000000003,-0.3146642294595169,102
scl-CEMV271,19.311360000000004,-0.18806089876071566,103
scl-CEMV273,19.086740000000002,-0.05655258680087801,104
scl-CEMV274,19.574499999999993,-0.2720788245269911,105
scl-CEMV275,19.447919999999996,-0.22675937426617615,106
scl-CEMV276,19.291920000000005,-0.13491597512325718,107
scl-CEMV277,19.302980000000005,-0.20903458974279251,108
scl-CEMV280,19.482939999999992,-0.24390980074646862,109
scl-CEMV287,19.72764,-0.29129013658027675,110
scl-CEMV288,19.253459999999993,-0.17742355783556107,111
scl-CEMV290,19.63708,-0.2575258371189747,112
scl-CEMV293,19.2976,-0.15895482778234538,113
scl-CEMV294,19.699939999999998,-0.00413460031094228,114
scl-CEMV295,19.593600000000002,-0.27471715184337664,115
scl-CEMV299,19.385059999999992,-0.1502182667908084,116
scl-CEMV300,19.158079999999995,-0.09321631038585344,117
scl-CEMV302,19.364179999999998,-0.1439994635229348,118
scl-CEMV305,19.38898,-0.1712996781825739,119
scl-CEMV306,19.534580000000005,-0.2742285414935664,120
scl-CEMV308,19.39112,-0.17108195926387829,121
scl-CEMV309,19.335060000000006,-0.2055856928056293,122
scl-CEMV311,19.371560000000002,-0.1878346151465604,123
scl-CEMV316,19.41098,-0.190137761908179,124
scl-CEMV319,19.30152,-0.21951128528779276,125
scl-CEMV321,19.228560000000005,-0.09990120886425453,126
scl-CEMV324,19.498360000000005,-0.28577154933662824,127
scl-CEMV330,19.435579999999995,-0.24197369325545756,128
scl-CEMV332,19.65728000000001,-0.23111125415530892,129
scl-CEMV333,19.416559999999997,-0.25096622454209305,130
scl-CEMV336,19.568319999999993,-0.2879026466432672,131
scl-CEMV337,19.377940000000006,-0.1852148460086337,132
scl-CEMV339,19.534139999999997,-0.20484308382949662,133
scl-CEMV340,19.320880000000006,-0.1458281256280475,134
scl-CEMV341,19.4728,-0.20289299931124152,135
scl-CEMV344,19.4651,-0.2731682377656532,136
scl-CEMV349,19.568940000000005,-0.31472249279876224,137
scl-CEMV350,19.1206,-0.11169257813155087,138
scl-CEMV351,19.629340000000003,-0.2978202573549687,139
scl-CEMV357,19.526839999999996,-0.2587124498518492,140
scl-CEMV360,19.279900000000005,-0.14485766053053237,141
scl-CEMV361,19.435819999999996,-0.21305480459450224,142
scl-CEMV363,19.530039999999993,-0.24344474275082487,143
scl-CEMV367,19.670520000000003,-0.31211993377115754,144
scl-CEMV369,19.391139999999996,-0.17516978661906024,145
scl-CEMV371,19.668760000000006,-0.25096622454209305,146
scl-CEMV373,19.470159999999996,-0.23417888639922385,147
scl-CEMV375,19.524019999999997,-0.2607968556876881,148
scl-CEMV378,19.26262,-0.1791258591430128,149
scl-CEMV379,19.49149999999999,-0.23082297027069137,150
scl-CEMV385,19.382579999999994,-0.19436568512488892,151
scl-CEMV389,19.304299999999998,-0.19831416973132907,152
scl-CEMV391,19.687340000000003,-0.29575159671423845,153
scl-CEMV392,19.302560000000003,-0.1954092065139444,154
scl-CEMV396,19.318499999999997,-0.20096059984965245,155
scl-CEMV397,19.55436,-0.019691339538277033,156
scl-CEMV403,19.30702,-0.20136434468224895,157
scl-CEMV405,19.491239999999994,-0.2519332833924115,158
scl-CEMV406,19.422539999999994,-0.20369544597187267,159
scl-CEMV408,19.40778,-0.18849639121826248,160
scl-CEMV409,19.422540000000005,-0.25632208286513125,161
scl-CEMV413,19.651740000000007,-0.27041297899226585,162
scl-CEMV414,19.555200000000006,-0.2697925576205376,163
scl-CEMV417,19.456459999999993,-0.21605279303015398,164
scl-CEMV418,19.473860000000002,-0.22768348728732893,165
scl-CEMV419,19.43444,-0.1936596365080787,166
scl-CEMV422,19.716140000000006,-0.26683933474137955,167
scl-CEMV423,19.32902,-0.2103613663874104,168
scl-CEMV424,19.311880000000006,-0.1360343181534481,169
scl-CEMV432,19.562040000000003,-0.24714930199133284,170
scl-CEMV433,19.555320000000002,-0.2519231987559366,171
scl-CEMV438,19.26742,-0.17330614708854022,172
scl-CEMV440,19.501400000000004,-0.19431269164425755,173
scl-CEMV442,19.662640000000007,-0.2796444792198727,174
scl-CEMV443,19.673560000000005,-0.2884398012230162,175
scl-CEMV445,19.3711,-0.18067221480552592,176
scl-CEMV448,19.484740000000006,-0.20994001879779478,177
scl-CEMV454,19.467799999999997,-0.23450815812164993,178
scl-CEMV459,19.543559999999996,-0.29348184475074324,179
scl-CEMV464,19.524420000000003,-0.2460734141264443,180
scl-CEMV465,19.544719999999998,-0.26404084560467306,181
scl-CEMV466,19.636480000000006,-0.29267250293815283,182
scl-CEMV467,19.38648000000001,-0.25971746577625116,183
scl-CEMV471,19.621,-0.2966337655355062,184
scl-CEMV474,19.231799999999996,-0.10834671316290698,185
scl-CEMV475,19.480859999999993,-0.18993662256345276,186
scl-CEMV477,19.675780000000003,-0.3023156841946051,187
scl-CEMV478,19.099679999999996,-0.21546822772785618,188
scl-CEMV481,19.32076,-0.17471367884017258,189
scl-CEMV483,19.53034,-0.26992918452483267,190
scl-CEMV487,19.428679999999993,-0.2481378794376555,191
scl-CEMV488,19.27111999999999,-0.11855165264119566,192
scl-CEMV489,19.51306,-0.25439081861882407,193
scl-CEMV490,19.594379999999997,-0.24316792345237637,194
scl-CEMV491,19.565679999999993,-0.27341187849731197,195
scl-CEMV493,19.4096,-0.2028839914745922,196
scl-CEMV495,19.58688,-0.2724169904810129,197
scl-CEMV497,19.322960000000002,-0.12848576881108645,198
scl-CEMV498,19.44704000000001,-0.21402411008521496,199
scl-CEMV499,19.404820000000004,-0.1879129307481525,200
scl-CEMV505,19.53250000000001,-0.2404192126259596,201
scl-CEMV506,19.357619999999987,-0.2095007871461733,202
scl-CEMV507,19.44122,-0.22478437543856203,203
scl-CEMV508,19.53934,-0.26205438264789727,204
scl-CEMV510,19.379939999999994,-0.16852774304490398,205
scl-CEMV512,19.336360000000006,-0.19211035819562294,206
scl-CEMV516,19.46968,-0.23001679195699443,207
scl-CEMV522,19.2686,-0.16734753693861187,208
scl-CEMV523,19.36812,-0.16921073415802226,209
scl-CEMV524,19.35866,-0.14260948029641285,210
scl-CEMV526,19.672479999999997,-0.2958966406165077,211
scl-CEMV527,19.65192,-0.2991898667275224,212
scl-CEMV528,19.24096,-0.08601288635827842,213
scl-CEMV533,19.53884,-0.2378244414698195,214
scl-CEMV537,19.510220000000004,-0.22154701677412655,215
scl-CEMV544,19.45443999999999,-0.17927939405204577,216
scl-CEMV545,19.433419999999998,-0.21395018205425517,217
scl-CEMV546,19.28214,-0.10463831531468895,218
scl-CEMV547,19.30188,-0.21331307459960233,219
scl-CEMV552,19.406999999999993,-0.23711237059255028,220
scl-CEMV554,19.3184,-0.20831342737408987,221
scl-CEMV557,19.382639999999995,-0.1602675381045153,222
scl-CEMV558,19.320539999999998,-0.14589922048563198,223
scl-CEMV559,19.485639999999997,-0.21830561092707415,224
scl-CEMV560,19.50498,-0.2179044621401349,225
scl-CEMV565,19.36631999999999,-0.1736512865114972,226
scl-CEMV569,19.583199999999987,-0.22941313878584443,227
scl-CEMV572,19.54991999999999,-0.22953763345159214,228
scl-CEMV581,19.39662,-0.18994536581555044,229
scl-CEMV583,19.3013,-0.14485766053053237,230
scl-CEMV585,19.552619999999997,-0.21490296882763388,231
scl-CEMV587,19.46398,-0.21122365430180204,232
scl-CEMV588,19.450599999999994,-0.1983052563657445,233
scl-CEMV590,19.26796000000001,-0.1528352797632909,234
scl-CEMV592,19.454840000000004,-0.21756890137321924,235
scl-CEMV593,19.352580000000003,-0.18881893701353425,236
scl-CEMV597,19.61672,-0.2633983897751706,237
scl-CEMV598,19.382099999999998,-0.1956749088129484,238
scl-CEMV599,19.404940000000003,-0.1804497474302571,239
scl-CEMV602,19.6188,-0.22788381219313156,240
scl-CEMV603,19.720480000000006,-0.28914239294775756,241
scl-CEMV605,19.39486,-0.22139659046814086,242
scl-CEMV609,19.368660000000006,-0.218510993214007,243
scl-CEMV610,19.281339999999997,-0.1635708928990443,244
scl-CEMV617,19.42224,-0.20301912864587163,245
scl-CEMV618,19.178699999999996,-0.08680509354273856,246
scl-CEMV619,19.294220000000003,-0.15038585882077943,247
scl-CEMV620,19.424699999999998,-0.1815031963531732,248
scl-CEMV623,19.36214,-0.15084906830512634,249
scl-CEMV624,19.44426,-0.24738875057308268,250
scl-CEMV630,19.465840000000004,-0.20861452679124246,251
scl-CEMV634,19.377879999999998,-0.18310969295099103,252
